"option_d_uk","question_ru","option_b_uk","correct_answer","option_a_en","question_pl","option_b_ru","option_c_uz","option_d_ru","option_a_uz","option_c_en","option_b_pl","option_d_pl","question_en","option_c_uk","question_uz","option_a_uk","option_b_en","option_d_uz","option_a_ru","option_c_ru","option_d_en","option_b_uz","question_uk","option_c_pl","option_a_pl","id","created_date","updated_date","created_by_id","created_by","is_sample"
"З заснуванням Варшавського університету","С чем связана Тарговицкая конфедерация?","За підтримкою противників Конституції 3 травня та втручанням Росії","B","With the fight against the Teutonic Order","Z czym związana jest Konfederacja Targowicka?","С поддержкой противников Конституции 3 мая и вмешательством России","Grunvalddagi g'alaba bilan tabriklayman.","С основанием Варшавского университета","Teuton ordeni bilan kurash bilan","Congratulations on the victory at Grunwald.","Ze wsparciem przeciwników Konstytucji 3 maja","Z założeniem Uniwersytetu Warszawskiego","What is the Targowica Confederation connected with?","З перемогою під Грюнвальдом","Targovica Konfederatsiyasi nima bilan bog'liq?","З боротьбою проти Тевтонського ордену","With the support of opponents of the May 3 Constitution and the intervention of Russia","Varshava universitetining tashkil etilishi bilan","С борьбой против Тевтонского ордена","С победой под Грюнвальдом","With the founding of the University of Warsaw","3-may Konstitutsiyasiga qarshi bo'lganlarning ko'magi va Rossiyaning aralashuvi bilan","З чим пов'язана Тарговицька конфедерація?","Ze zwycięstwem pod Grunwaldem","Z walką z Zakonem Krzyżackim","6a5b4a4130ee48091b30f29c","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Відомим художником","Кем был Тадеуш Костюшко?","Керівником повстання 1794 року","B","Composer","Kim był Tadeusz Kościuszko?","Руководителем восстания 1794 года","Polsha qiroli","Известным художником","Bastakor","Polish King","Przywódcą powstania 1794 roku","Znanym artystą","Who was Tadeusz Kosciuszko?","Польським королем","Tadeush Kostyushko kim edi?","Композитором","Leader of the 1794 uprising","Mashhur rassom","Композитором","Польским королём","A famous artist","1794-yilgi qo'zg'olon rahbari","Ким був Тадеуш Костюшко?","Polskim królem","Kompozytorem","6a5b4a4130ee48091b30f29d","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"1920 р.","Когда произошло Ноябрьское восстание?","1863-1864 р.р.","A","1830–1831","Kiedy wybuchło Powstanie Listopadowe?","1863–1864 гг.","1794-yil","1920 г.","1830–1831 yillar","1794","1863–1864","1920","When did the November Uprising take place?","1794 р.","Noyabr qo'zg'oloni qachon bo'lib o'tdi?","1830-1831 рр.","1863–1864","1920-yil","1830–1831 гг.","1794 г.","1920","1863–1864 yillar","Коли відбулося Листопадове повстання?","1794","1830–1831","6a5b4a4130ee48091b30f29e","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"1918 р.","Когда произошло Январское восстание?","1863-1864 р.р.","B","1830–1831","Kiedy wybuchło Powstanie Styczniowe?","1863–1864 гг.","1791-yil","1918 г.","1830–1831 yillar","1791","1863–1864","1918","When did the January Uprising happen?","1791 р.","Yanvar qo'zg'oloni qachon sodir bo'lgan?","1830-1831 рр.","1863–1864","1918-yil","1830–1831 гг.","1791 г.","1918","1863–1864 yillar","Коли сталося Січневе повстання?","1791","1830–1831","6a5b4a4130ee48091b30f29f","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Владислав Реймонт","Кто написал роман «Над Неманом» («Nad Niemnem»)?","Еліза Ожешко","B","Henryk Sienkiewicz","Kto napisał powieść „Nad Niemnem”?","Элиза Ожешко","Boleslav Prus","Владислав Реймонт","Genrik Senkevich","Boleslav Prus","Eliza Orzeszko","Władysław Reymont","Who wrote the novel ""Above the Neman"" (""Nad Niemnem"")?","Болеслав Прус","""Neman ustida"" (""Nad Niemnem"") romanini kim yozgan?","Генрік Сенкевич","Eliza Orzeszko","Vladislav Reymont","Генрик Сенкевич","Болеслав Прус","Vladislav Reymont","Eliza Orzeszko","Хто написав роман Над Неманом (Nad Niemnem)?","Bolesław Prus","Henryk Sienkiewicz","6a5b4a4130ee48091b30f2a0","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Чеслав Мілош","Кто является автором поэмы «Пан Тадеуш»?","Генрік Сенкевич","C","Juliusz Słowacki","Kto jest autorem poematu „Pan Tadeusz”?","Генрик Сенкевич","Adam Mickiewicz","Чеслав Милош","Yuliusz Słowacki","Adam Mickiewicz","Henryk Sienkiewicz","Czesław Miłosz","Who is the author of the poem ""Pan Tadeusz""?","Адам Міцкевич","""Pan Tadeush"" she'rining muallifi kim?","Юліуш Словацький","Henryk Sienkiewicz","Cheslav Milosh","Юлиуш Словацкий","Адам Мицкевич","Czeslaw Milosz","Genrik Senkevich","Хто є автором поеми Пан Тадеуш?","Adam Mickiewicz","Juliusz Słowacki","6a5b4a4130ee48091b30f2a1","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"У битві під Пловцями (1331)","Где и когда погиб король Владислав III Варненчик?","У битві при Варні у 1444 році","B","At the Battle of Grunwald (1410)","Gdzie i kiedy zmarł król Władysław III Warneńczyk?","В битве при Варне в 1444 году","Vena jangida (1683)","В битве под Пловцами (1331)","Grunvald jangida (1410)","In the Battle of Vienna (1683)","W bitwie pod Warną w 1444 roku","W bitwie pod Płowcami (1331)","Where and when did King Vladislav III Varnenchik die?","У Віденській битві (1683)","Qirol Vladislav III Varnenchik qayerda va qachon vafot etgan?","У битві під Грюнвальдом (1410)","At the Battle of Varna in 1444","Plovtsi jangida (1331)","В битве под Грюнвальдом (1410)","В Венской битве (1683)","In the Battle of Plovtsy (1331)","1444-yilda Varna jangida","Де і коли загинув король Владислав ІІІ Варненчик?","W bitwie pod Wiedniem (1683)","W bitwie pod Grunwaldem (1410)","6a5b4a4130ee48091b30f2a2","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Болеслав Хоробрий","Кто был первым королём из династии Ягеллонов?","Казимир III Великий","A","Vladislav II Jagiello","Kto był pierwszym królem z dynastii Jagiellonów?","Казимир III Великий","Sigismund II Avgust","Болеслав Храбрый","Vladislav II Yagiello","Sigismund II Augustus","Kazimierz III Wielki","Bolesław Chrobry","Who was the first king of the Jagiellonian dynasty?","Сигізмунд II Серпень","Yagellon sulolasining birinchi qiroli kim bo'lgan?","Владислав II Ягайло","Casimir III the Great","Boleslav Jasur","Владислав II Ягайло","Сигизмунд II Август","Boleslav the Brave","Buyuk Kazimir III","Хто був першим королем із династії Ягеллонів?","Zygmunt II August","Władysław II Jagiełło","6a5b4a4130ee48091b30f2a3","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Ян III Собеський","Кто был последним правителем династии Ягеллонов?","Владислав IV Ваза","C","Sigismund I the Old","Kto był ostatnim władcą dynastii Jagiellonów?","Владислав IV Ваза","Sigismund II Avgust","Ян III Собеский","Qadimgi Sigismund I","Sigismund II Augustus","Władysław IV Waza","Jan III Sobieski","Who was the last ruler of the Jagiellonian dynasty?","Сигізмунд II Серпень","Yagellon sulolasining oxirgi hukmdori kim bo'lgan?","Сигізмунд I Старий","Vladislav IV Vasa","Yanvar III Sobieski","Сигизмунд I Старый","Сигизмунд II Август","Jan III Sobieski","Vladislav IV Vasa","Хто був останнім правителем династії Ягеллонів?","Zygmunt II August","Zygmunt I Stary","6a5b4a4130ee48091b30f2a4","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Січневе повстання","С каким историческим событием связан ксёндз Августин Кордецкий?","Захист монастиря Ясна Гура під час Шведського потопу","B","Baptism of Poland","Jakie wydarzenie historyczne wiąże się z osobą ojca Augustyna Kordeckiego?","Защита монастыря Ясная Гура во время Шведского потопа","Grunvald jangi","Январское восстание","Polshaning suvga cho'mishi","Battle of Grunwald","Obrona Klasztoru Jasnogórskiego w czasie potopu szwedzkiego","Powstanie Styczniowe","What historical event is associated with Father Augustin Kordecki?","Битва при Грюнвальді","Ota Avgustin Kordecki bilan qanday tarixiy voqea bog'liq?","Хрещення Польщі","The defense of the Jasna Góra Monastery during the Swedish Deluge","Yanvar qo'zg'oloni","Крещение Польши","Битва при Грюнвальде","January Uprising","Shvetsiya to'foni paytida Jasna Gora monastirining himoyasi","З якою історичною подією пов'язаний ксендз Августин Кордецький?","Bitwa pod Grunwaldem","Chrzest Polski","6a5b4a4130ee48091b30f2a5","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Святий Георгій","Кто является одним из главных покровителей Польши?","Святий Войцех","B","Saint Patrick","Kto jest jednym z głównych patronów Polski?","Святой Войцех","Avliyo Nikolay","Святой Георгий","Avliyo Patrik","Saint Nicholas","Święty Wojciech","Święty Jerzy","Who is one of the main patrons of Poland?","Святий Миколай","Polshaning asosiy homiylaridan biri kim?","Святий Патрік","Saint Wojciech","Sent-Jorj","Святой Патрик","Святой Николай","Saint George","Avliyo Voytsex","Хто є одним із головних покровителів Польщі?","Święty Mikołaj","Święty Patryk","6a5b4a4130ee48091b30f2a6","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Художницею","Кем была Святая Ядвига?","Польською поетесою","A","Queen of Poland","Kim była Święta Jadwiga?","Польской поэтессой","Varshava asoschisi","Художницей","Polsha qirolichasi","The founder of Warsaw","POlską poetką","Artystką","Who was Saint Hedwig?","Засновницею Варшави","Avliyo Xedvig kim edi?","Польською королевою","Polish poetess","Rassom","Польской королевой","Основательницей Варшавы","Artist","Polsha shoirasi","Ким була Свята Ядвіга?","Założycielką Warszawy","Królową Polski","6a5b4a4130ee48091b30f2a7","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Московське князівство","Кто победил в битве при Грюнвальде в 1410 году?","Польсько-литовське військо під командуванням Владислава Ягайла","B","Teutonic Order","Kto wygrał bitwę pod Grunwaldem w 1410 roku?","Польско-литовское войско под командованием Владислава Ягайло","Shvetsiya armiyasi","Московское княжество","Teuton ordeni","Swedish army","Armia polsko-litewska pod dowództwem Władysława Jagiełły","Księstwo Moskiewskie","Who won the Battle of Grunwald in 1410?","Шведська армія","1410-yilda Grunvald jangida kim g'alaba qozongan?","Тевтонський орден","The Polish-Lithuanian army under the command of Władysław Jagiello","Moskva knyazligi","Тевтонский орден","Шведская армия","Moscow Principality","Vladislav Yagiello qo'mondonligidagi Polsha-Litva armiyasi","Хто переміг у битві при Грюнвальді у 1410 році?","Armia szwedzka","Zakon Krzyżacki","6a5b4a4130ee48091b30f2a8","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Шведський потоп","С каким событием связана легенда о Лайконике?","Заснування Кракова","A","Victory over the Tatars","Jakie wydarzenie wiąże się z legendą o Lajkoniku?","Основание Кракова","Varna jangi","Шведский потоп","Tatarlar ustidan qozonilgan g'alaba","Battle of Varna","Założenie Krakowa","Powódź szwedzka","What event is associated with the legend of Laikonik?","Битва за Варною","Laikonik afsonasi qanday voqea bilan bog'liq?","Перемога над татарами","The founding of Krakow","Shvetsiya suv toshqini","Победа над татарами","Битва при Варне","The Swedish Flood","Krakovning tashkil topishi","З якою подією пов'язана легенда про Лайконіка?","Bitwa pod Warną","Zwycięstwo nad Tatarami","6a5b4a4130ee48091b30f2a9","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Сигізмунд II Серпень 1569 року","Кто и когда основал Ягеллонский университет в Кракове?","Владислав Ягайло у 1410 році","A","Casimir III the Great in 1364","Kto i kiedy założył Uniwersytet Jagielloński w Krakowie?","Владислав Ягайло в 1410 году","1025-yilda Boleslav Jasur","Сигизмунд II Август в 1569 году","Buyuk Kazimir III 1364-yilda","Boleslav the Brave in 1025","Władysław Jagiełło w 1410 roku","Zygmunt II August w 1569 roku","Who founded the Jagiellonian University in Krakow and when?","Болеслав Хоробрий у 1025 році","Krakovda Yagelloniya universitetiga kim va qachon asos solgan?","Казимир III Великий у 1364 році","Vladislav Jagiello in 1410","1569-yilda Sigismund II Avgust","Казимир III Великий в 1364 году","Болеслав Храбрый в 1025 году","Sigismund II Augustus in 1569","1410-yilda Vladislav Yagiello","Хто і коли заснував Ягеллонський університет у Кракові?","Bolesław Chrobry w 1025 r.","Kazimierz III Wielki w 1364 roku","6a5b4a4130ee48091b30f2aa","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"17 вересня 1939 року","Когда началось Варшавское восстание?","1 серпня 1944 року","B","September 1, 1939","Kiedy wybuchło Powstanie Warszawskie?","1 августа 1944 года","1945-yil 8-may","17 сентября 1939 года","1939-yil 1-sentabr","May 8, 1945","1 sierpnia 1944","17 września 1939","When did the Warsaw Uprising begin?","8 травня 1945 року","Varshava qo'zg'oloni qachon boshlangan?","1 вересня 1939 року","August 1, 1944","1939-yil 17-sentabr","1 сентября 1939 года","8 мая 1945 года","September 17, 1939","1944-yil 1-avgust","Коли розпочалося Варшавське повстання?","8 maja 1945","1 września 1939 roku","6a5b4a4130ee48091b30f2ab","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Юзеф Пілсудський","Кто из перечисленных НЕ был президентом Польши после 1989 года?","Олександр Кваснєвський","D","Lech Walesa","Kto z poniższych NIE był Prezydentem Polski po 1989 roku?","Александр Квасьневский","Bronislav Komorovskiy","Юзеф Пилсудский","Lex Uelsa","Bronislaw Komorowski","Aleksander Kwaśniewski","Józef Piłsudski","Who of the following was NOT the President of Poland after 1989?","Броніслав Коморовський","Quyidagilardan qaysi biri 1989-yildan keyin Polsha Prezidenti EMAS edi?","Лех Валенса","Aleksander Kwasniewski","Jozef Pilsudski","Лех Валенса","Бронислав Коморовский","Józef Pilsudski","Aleksandr Kvasnevskiy","Хто з перерахованих не був президентом Польщі після 1989 року?","Bronisław Komorowski","Lech Wałęsa","6a5b4a4130ee48091b30f2ac","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Заснування Варшави","Какое важное событие произошло 3 мая 1791 года?","Ухвалення Конституції 3 травня","B","Baptism of Poland","Jakie ważne wydarzenie miało miejsce 3 maja 1791 roku?","Принятие Конституции 3 мая","Grunvald jangi","Основание Варшавы","Polshaning suvga cho'mishi","Battle of Grunwald","Przyjęcie Konstytucji 3 Maja","Założenie Warszawy","What important event happened on May 3, 1791?","Битва при Грюнвальді","1791-yil 3-mayda qanday muhim voqea sodir bo'ldi?","Хрещення Польщі","Adoption of the Constitution on May 3","Varshavaning tashkil topishi","Крещение Польши","Битва при Грюнвальде","The founding of Warsaw","3-may kuni Konstitutsiyaning qabul qilinishi","Яка важлива подія сталася 3 травня 1791?","Bitwa pod Grunwaldem","Chrzest Polski","6a5b4a4130ee48091b30f2ad","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Перемогу над шведами у XVII столітті","Что называют «Чудом на Висле»?","Перемогу при Грюнвальді","A","The victory of the Polish army over Soviet Russia in the Battle of Warsaw in 1920","Czym jest „Cud nad Wisłą”?","Победу при Грюнвальде","1945-yilda Varshavaning ozod qilinishi","Победу над шведами в XVII веке","1920-yilda Varshava jangida Polsha armiyasining Sovet Rossiyasi ustidan qozongan g'alabasi","The liberation of Warsaw in 1945","Zwycięstwo pod Grunwaldem","Zwycięstwo nad Szwedami w XVII wieku","What is called the ""Miracle on the Vistula""?","Звільнення Варшави у 1945 році","""Vistuladagi mo''jiza"" nima deb ataladi?","Перемогу польської армії над Радянською Росією у Варшавській битві 1920 року","Victory at Grunwald","17-asrda shvedlar ustidan qozonilgan g'alaba","Победу польской армии над Советской Россией в Варшавской битве 1920 года","Освобождение Варшавы в 1945 году","Victory over the Swedes in the 17th century","Grunvalddagi g'alaba","Що називають «Чудом на Віслі»?","Wyzwolenie Warszawy w 1945 roku","Zwycięstwo wojsk polskich nad Rosją Radziecką w bitwie warszawskiej w 1920 roku","6a5b4a4130ee48091b30f2ae","2026-07-18T09:41:21.418000","2026-07-18T09:41:21.418000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
