"question_text_en","time_limit","subject","options_en","target_language","correct_answer","options_uz","points","options_pl","question_text_az","options_tr","question_text_pl","explanation_ru","options_az","question_text_tr","explanation_tr","question_text_ru","explanation_pl","explanation_az","source_language","options_ru","difficulty","explanation_en","explanation_uz","question_text_uz","id","created_date","updated_date","created_by_id","created_by","is_sample"
"In ""The Wizard of Oz,"" who is the ""Man behind the curtain""?","12","movies","[""The Wicked Witch"",""The Wizard"",""Uncle Henry"",""Glinda""]","","1","[""Yovuz jodugar"",""Sehrgar"",""Genri amaki"",""Glinda""]","1","[""Zła Czarownica"",""Czarnoksiężnik"",""Wujek Henry"",""Glinda""]","""Ozun sehrbazı""nda ""pərdə arxasındakı adam"" kimdir?","[""Kötü Cadı"",""Büyücü"",""Henry Amca"",""Glinda""]","Kto w filmie ""Czarnoksiężnik z krainy Oz"" okazuje się być ""człowiekiem za zasłoną""?","","[""Pis Cadugər"",""Sehrbaz"",""Əmi Henri"",""Qlinda""]","""Oz Büyücüsü"" filminde ""Perdenin arkasındaki adam"" kimdir?","","В фильме ""Волшебник страны Оз"" кто такой ""Человек за занавесом""?","","","","[""Злая ведьма"",""Волшебник"",""Дядя Генри"",""Глинда""]","5","","","""Oz sehrgari""da ""Parda ortidagi odam"" kim?","698675ce12293ed64e7d63b7","2026-02-06T23:14:22.832000","2026-07-08T18:30:17.910000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Which movie features a scene where a man eats a ""Royale with Cheese""?","12","movies","[""The Big Lebowski"",""Pulp Fiction"",""Kill Bill"",""Reservoir Dogs""]","","1","[""Katta Lebowski"",""Pulp Fiction"",""Kill Bill"",""Reservoir Dogs""]","1","[""Big Lebowski"",""Pulp Fiction"",""Kill Bill"",""Wściekłe psy""]","Hansı filmdə bir kişinin ""Pendirli Royal"" yediyi səhnə var?","[""The Big Lebowski"",""Pulp Fiction"",""Kill Bill"",""Reservoir Dogs""]","W którym filmie znajduje się scena, w której mężczyzna je ""Royale z serem""?","","[""Böyük Lebovski"",""Pulp Fiction"",""Kill Bill"",""Reservoir Dogs""]","Hangi filmde bir adamın ""Royale with Cheese"" yediği bir sahne var?","","В каком фильме есть сцена, где мужчина ест пирожок ""Рояль с сыром""?","","","","[""Большой Лебовски"",""Криминальное чтиво"",""Убить Билла"",""Бешеные псы""]","5","","","Qaysi filmda erkak ""Pishloqli Royal""ni yeb qo'ygan sahna tasvirlangan?","698675ce24056da7d2b71a3a","2026-02-06T23:14:22.737000","2026-07-09T15:41:50.574000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"In ""Frozen,"" what is the name of the snowman?","12","movies","[""Sven"",""Olaf"",""Kristoff"",""Marshmallow""]","","1","[""Sven"",""Olaf"",""Kristoff"",""Marshmallow""]","1","[""Sven"",""Olaf"",""Kristoff"",""Marshmallow""]","""Donmuş"" əsərində qar adamının adı nədir?","[""Sven"",""Olaf"",""Kristoff"",""Marshmallow""]","Jak ma na imię bałwan z filmu ""Kraina lodu""?","","[""Sven"",""Olaf"",""Kristoff"",""Zefir""]","""Frozen"" filminde kardan adamın adı nedir?","","Как зовут снеговика в мультфильме ""Холодное сердце""?","","","","[""Свен"",""Олаф"",""Кристофф"",""Зефир""]","5","","","""Muzlagan"" asarida kardan odamning ismi nima?","698675cefa01d1729c74a2b4","2026-02-06T23:14:22.624000","2026-07-09T21:26:50.499000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What is the name of the main ship in ""The Matrix""?","12","movies","[""Discovery"",""Nebuchadnezzar"",""Endurance"",""Prometheus""]","","1","[""Kashfiyot"",""Navuxadnazar"",""Chidamlilik"",""Prometey""]","1","[""Discovery"",""Nebuchednezzar"",""Endurance"",""Prometheus""]","""Matrix""dəki əsas gəminin adı nədir?","[""Keşif"",""Nebukadnezar"",""Dayanıklılık"",""Prometheus""]","Jak nazywa się główny statek w filmie ""Matrix""?","","[""Kəşf"",""Navuxodonosor"",""Dözümlülük"",""Prometey""]","""Matrix"" filmindeki ana geminin adı nedir?","","Как называется главный корабль в фильме ""Матрица""?","","","","[""Discovery"",""Newuchadnezzar"",""Endurance"",""Prometheus""]","5","","","""Matritsa""dagi asosiy kemaning nomi nima?","698675cebd1f532c49503da8","2026-02-06T23:14:22.527000","2026-07-09T14:12:01.913000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"In ""Django Unchained,"" what is the name of the plantation owned by Calvin Candie?","12","movies","[""Candyland"",""Tara"",""Twelve Oaks"",""Oak Alley""]","","0","[""Candyland"",""Tara"",""Twelve Oaks"",""Oak Alley""]","1","[""Candyland"",""Tara"",""Twelve Oaks"",""Oak Alley""]","""Django Unchained""də Kalvin Kendiyə məxsus plantasiyanın adı nədir?","[""Şeker Diyarı"",""Tara"",""On İki Meşe"",""Meşe Sokağı""]","Jak nazywa się plantacja należąca do Calvina Candiego w filmie „Django”?","","[""Şamlıq diyarı"",""Tara"",""On iki palıd"",""Palıd xiyabanı""]","""Django Unchained"" filminde Calvin Candie'nin sahip olduğu çiftliğin adı nedir?","","Как называется плантация, принадлежащая Кэлвину Кэнди, в фильме ""Джанго освобождённый""?","Plantacja Calvina Candiego w filmie Quentina Tarantino nosi nazwę Candyland.","","","[""Страна сладостей"",""Тара"",""Двенадцать дубов"",""Дубовая аллея""]","5","","","""Django Unchained"" asarida Kalvin Kendiga tegishli plantatsiyaning nomi nima?","698675ceab335ddfc86de9d4","2026-02-06T23:14:22.389000","2026-07-09T21:26:51.819000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Which movie features a giant walking ""Marshmallow Man""?","12","movies","[""Pixels"",""Ghostbusters"",""Gremlins"",""The Blob""]","","1","[""Piksellar"",""Arvoh ovchilari"",""Gremlins"",""Blob""]","1","[""Piksele"",""Pogromcy duchów"",""Gremliny"",""The Blob""]","Hansı filmdə nəhəng gəzən ""Zefir Adamı"" təsvir olunur?","[""Pixels"",""Ghostbusters"",""Gremlins"",""The Blob""]","Który film przedstawia gigantycznego, chodzącego ""Człowieka-Piankę""?","","[""Piksellər"",""Xəyal ovçuları"",""Qremlinlər"",""Damcıq""]","Hangi filmde yürüyen dev bir ""Marshmallow Adam"" yer alıyor?","","В каком фильме есть гигантский ходячий ""Зефирный человек""?","","","","[""Пиксели"",""Охотники за привидениями"",""Гремлины"",""Капля""]","5","","","Qaysi filmda ulkan yuruvchi ""Zefir odam"" tasvirlangan?","698675ce2b10a0f83285cb8f","2026-02-06T23:14:22.274000","2026-07-09T14:22:01.641000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"In ""Up,"" what is the name of the bird Kevin?","12","movies","[""Snipe"",""Dodo"",""Kevin"",""Flamingo""]","","2","[""Snipe"",""Dodo"",""Kevin"",""Flamingo""]","1","[""Bekas"",""Dodo"",""Kevin"",""Flaming""]","""Yuxarı""da Kevin quşunun adı nədir?","[""Çulluk"",""Dodo"",""Kevin"",""Flamingo""]","Jak w filmie ""Odlot"" (Up) nazywa się ptak Kevin?","","[""Snayp"",""Dodo"",""Kevin"",""Flamingo""]","""Up"" filminde Kevin adlı kuşun adı nedir?","","В мультфильме ""Вверх"" как зовут птицу по имени Кевин?","","","","[""Снайп"",""Додо"",""Кевин"",""Фламинго""]","5","","","""Up""da Kevin qushining ismi nima?","698675ceb473b07471d479ad","2026-02-06T23:14:22.144000","2026-07-09T13:52:02.640000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"What is the name of the detective played by Morgan Freeman in ""Se7en""?","12","movies","[""Mills"",""Somerset"",""Doherty"",""Williams""]","","1","[""Mills"",""Somerset"",""Doherty"",""Williams""]","1","[""Mills"",""Somerset"",""Doherty"",""Williams""]","""Se7en"" filmində Morqan Frimanın canlandırdığı detektivin adı nədir?","[""Mills"",""Somerset"",""Doherty"",""Williams""]","Jak nazywa się detektyw, w którego wcielił się Morgan Freeman w filmie „Siedem”?","","[""Mills"",""Somerset"",""Doherty"",""Williams""]","""Se7en"" filminde Morgan Freeman'ın canlandırdığı dedektifin adı nedir?","","Как зовут детектива, которого сыграл Морган Фриман в фильме ""Семь""?","","","","[""Миллс"",""Сомерсет"",""Доэрти"",""Уильямс""]","5","","","""Se7en"" filmida Morgan Friman o'ynagan detektivning ismi nima?","698675ce2a980142603a8aaf","2026-02-06T23:14:22.007000","2026-07-09T21:26:53.269000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"In ""Beauty and the Beast,"" what is the Beast's name?","12","movies","[""Prince Adam"",""Prince Eric"",""Prince Florian"",""Prince Phillip""]","","0","[""Shahzoda Adam"",""Shahzoda Erik"",""Shahzoda Florian"",""Shahzoda Filipp""]","1","[""Książę Adam"",""Książę Eryk"",""Książę Florian"",""Książę Filip""]","""Gözəl və Bədheybət""də Bədheybətin adı nədir?","[""Prens Adam"",""Prens Eric"",""Prens Florian"",""Prens Philip""]","Jak brzmi imię Bestii w filmie ""Piękna i Bestia""?","","[""Şahzadə Adam"",""Şahzadə Erik"",""Şahzadə Florian"",""Şahzadə Filip""]","""Güzel ve Çirkin"" filminde Çirkin'in adı nedir?","","Как зовут Чудовище в мультфильме ""Красавица и Чудовище""?","","","","[""Принц Адам"",""Принц Эрик"",""Принц Флориан"",""Принц Филипп""]","5","","","""Go'zal va maxluq"" qissasida maxluqning ismi nima?","698675cdd7592b9377ba90ff","2026-02-06T23:14:21.907000","2026-07-09T13:12:37.846000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
"Which movie features the ""Burning of the Atlanta"" scene?","12","movies","[""The Patriot"",""Gone with the Wind"",""Lincoln"",""Cold Mountain""]","","1","[""Vatanparvar"",""Shamol bilan ketganlar"",""Linkoln"",""Sovuq tog'""]","1","[""Patriota"",""Przeminęło z wiatrem"",""Lincoln"",""Wzgórze nadziei""]","""Atlantanın Yanması"" səhnəsi hansı filmdə yer alır?","[""Vatansever"",""Rüzgar Gibi Geçti"",""Lincoln"",""Soğuk Dağ""]","W którym filmie znajduje się scena „pożaru Atlanty”?","","[""Vətənpərvər"",""Küləklə sovrulanlar"",""Linkoln"",""Soyuq Dağ""]","""Atlanta'nın Yakılması"" sahnesi hangi filmde yer alıyor?","","В каком фильме показана сцена ""Сожжение Атланты""?","","","","[""Патриот"",""Унесённые ветром"",""Линкольн"",""Холодная гора""]","5","","","""Atlantaning yonishi"" sahnasi qaysi filmda tasvirlangan?","698675cdb1a6583299ac1ff6","2026-02-06T23:14:21.789000","2026-07-09T13:47:25.680000","service_2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7","service+2c30f18b-17b7-47bb-ab8f-ace37ed3a2f7@no-reply.base44.com","false"
