"option_d_uk","question_ru","option_b_uk","correct_answer","option_a_en","question_pl","option_b_ru","option_c_uz","option_d_ru","option_a_uz","option_c_en","option_b_pl","option_d_pl","question_en","option_c_uk","question_uz","option_a_uk","option_b_en","option_d_uz","option_a_ru","option_c_ru","option_d_en","option_b_uz","question_uk","option_c_pl","option_a_pl","id","created_date","updated_date","created_by_id","created_by","is_sample"
"Ктесифон","Как называлась в древности столица Согдианы, Самарканд, до того как его захватил Александр Македонский?","Екбатана","A","Maracanda","Jak nazywała się w starożytności stolica Sogdiany, Samarkanda, zanim zdobył ją Aleksander Wielki?","Экбатана","Persepolis","Ктесифон","Marakanda","Persepolis","Ekbatana","Ktezyfon","What was the ancient name of Samarkand, capital of the region of Sogdiana, before it was captured by Alexander the Great?","Персеполь","Sug'diyona poytaxti bo'lgan Samarqandning Iskandar Zulqarnayn bosib olishidan oldingi qadimiy nomi qanday edi?","Мараканда","Ecbatana","Ktesifon","Мараканда","Персеполь","Ctesiphon","Ekbatana","Як називалася в давнину столиця Согдіани, Самарканд, до того як його захопив Александр Македонський?","Persepolis","Marakanda","e38cf59ff4e442ec9f08dc66","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"29 р. до н.е.","В каком году Александр Македонский захватил древний город Самарканд (Мараканду)?","129 р. до н.е.","A","329 BCE","W którym roku Aleksander Wielki zdobył starożytne miasto Samarkanda (Marakandę)?","129 г. до н.э.","Miloddan avvalgi 529-yil","29 г. до н.э.","Miloddan avvalgi 329-yil","529 BCE","129 r. p.n.e.","29 r. p.n.e.","In what year did Alexander the Great capture the ancient city of Samarkand (Maracanda)?","529 р. до н.е.","Iskandar Zulqarnayn qadimiy Samarqand (Marakanda) shahrini qaysi yilda bosib olgan?","329 р. до н.е.","129 BCE","Miloddan avvalgi 29-yil","329 г. до н.э.","529 г. до н.э.","29 BCE","Miloddan avvalgi 129-yil","У якому році Александр Македонський захопив древнє місто Самарканд (Марканду)?","529 r. p.n.e.","329 r. p.n.e.","02940a4caef946228f635df4","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Імперія Хань","Какая древняя империя, известная своими обширными торговыми сетями, правила частью территории современного Узбекистана примерно с I по III век н.э.?","Римська імперія","A","The Kushan Empire","Które starożytne imperium, znane z rozległych sieci handlowych, rządziło częścią dzisiejszego Uzbekistanu około I-III wieku n.e.?","Римская империя","Mauriylar imperiyasi","Империя Хань","Kushon imperiyasi","The Mauryan Empire","Imperium Rzymskie","Imperium Han","Which ancient empire, known for its extensive trade networks, once ruled over parts of what is now Uzbekistan around the 1st to 3rd centuries CE?","Імперія Маур'їв","Milodiy I-III asrlarda hozirgi O'zbekiston hududining bir qismini boshqargan, keng savdo tarmoqlari bilan mashhur bo'lgan qadimiy imperiya qaysi?","Кушанська імперія","The Roman Empire","Xan imperiyasi","Кушанская империя","Империя Маурьев","The Han Empire","Rim imperiyasi","Яка давня імперія, відома своїми широкими торговими мережами, правила частиною території сучасного Узбекистану приблизно з I по III століття н.е.?","Imperium Maurjów","Imperium Kuszanów","cb4139264b624187ac40131b","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Ташкент","Государство Саманидов, крупная персоязычная исламская империя, сделало какой узбекский город своей столицей?","Самарканд","A","Bukhara","Dynastia Samanidów, wielkie perskojęzyczne imperium islamskie, uczyniła stolicą które uzbeckie miasto?","Самарканд","Xiva","Ташкент","Buxoro","Khiva","Samarkanda","Taszkent","The Samanid dynasty, a major Persian-speaking Islamic empire, made which Uzbek city its capital?","Хіва","Fors tilida so'zlashuvchi yirik islom imperiyasi bo'lgan Somoniylar davlati qaysi o'zbek shahrini poytaxt qilgan?","Бухара","Samarkand","Toshkent","Бухара","Хива","Tashkent","Samarqand","Держава Саманідів, велика персомовна ісламська імперія, зробила яке узбецьке місто своєю столицею?","Chiwa","Buchara","97ccd69b851646e0ac8bb422","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Чингісхан","Какой правитель объединил государство Саманидов и сделал Бухару его столицей в 892 году?","Мухаммад Шейбані","A","Ismail Samani","Który władca zjednoczył państwo Samanidów i uczynił Bucharę jego stolicą w 892 roku?","Мухаммад Шейбани","Amir Temur","Чингисхан","Ismoil Somoniy","Amir Temur","Muhammad Szajbani","Czyngis-chan","Which ruler unified the Samanid state and made Bukhara its capital in 892?","Амір Темур","892-yilda Somoniylar davlatini birlashtirib, Buxoroni poytaxt qilgan hukmdor kim edi?","Ісмаїл Самані","Muhammad Shaybani","Chingizxon","Исмаил Самани","Амир Темур","Genghis Khan","Muhammad Shayboniy","Який правитель об'єднав державу Саманідів і зробив Бухару її столицею у 892 році?","Amir Timur","Ismail Samani","2357f60a0d924bb9886ba8dc","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Мінарет Калян","Какой мавзолей в Бухаре, построенный для династии Саманидов, считается древнейшим сохранившимся памятником исламской архитектуры в Центральной Азии?","Гур-Емір","A","The Samanid Mausoleum","Które mauzoleum w Bucharze, zbudowane dla dynastii Samanidów, jest uważane za najstarszy zachowany zabytek architektury islamskiej w Azji Środkowej?","Гур-Эмир","Chor-Minor","Минарет Калян","Somoniylar maqbarasi","The Chor-Minor","Gur-e Amir","Minaret Kalan","Which mausoleum in Bukhara, built for the Samanid dynasty, is considered the oldest surviving monument of Islamic architecture in Central Asia?","Чор-Мінор","Buxorodagi Somoniylar sulolasi uchun qurilgan qaysi maqbara Markaziy Osiyoda saqlanib qolgan eng qadimiy islom me'morchiligi yodgorligi hisoblanadi?","Мавзолей Саманідів","The Gur-e-Amir","Kalon minorasi","Мавзолей Саманидов","Чор-Минор","The Kalyan Minaret","Go'ri Amir","Який мавзолей у Бухарі, побудований для династії Саманідів, вважається найдавнішою збереженою пам'яткою ісламської архітектури в Центральній Азії?","Czor-Minor","Mauzoleum Samanidów","3a381a22b5f24d8895009f3e","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Тимур","Кто возглавил арабское завоевание, принёсшее ислам в Центральную Азию и город Бухару в начале VIII века?","Чингісхан","A","Qutayba ibn Muslim","Kto dowodził arabskim podbojem, który przyniósł islam do Azji Środkowej i miasta Buchara na początku VIII wieku?","Чингисхан","Muhammad Shayboniy","Тимур","Qutayba ibn Muslim","Muhammad Shaybani","Czyngis-chan","Timur","Who led the Arab conquest that brought Islam to Central Asia and the city of Bukhara in the early 8th century?","Мухаммад Шейбані","VIII asr boshida Markaziy Osiyo va Buxoro shahriga islomni olib kelgan arab bosqinini kim boshqargan?","Кутейба ібн Муслім","Genghis Khan","Temur","Кутейба ибн Муслим","Мухаммад Шейбани","Timur","Chingizxon","Хто очолив арабське завоювання, що принесло іслам до Центральної Азії та міста Бухари на початку VIII століття?","Muhammad Szajbani","Kutajba ibn Muslim","e71d1a53564544a19e21b785","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Османська імперія","Какая могущественная средневековая империя с центром в Хорезме была уничтожена монгольским нашествием в начале XIII века?","Візантійська імперія","A","The Khwarazmian Empire","Które potężne średniowieczne imperium, ze stolicą w regionie Chorezmu, zostało zniszczone przez najazd mongolski na początku XIII wieku?","Византийская империя","Boburiylar imperiyasi","Османская империя","Xorazmshohlar davlati","The Mughal Empire","Cesarstwo Bizantyjskie","Imperium Osmańskie","Which powerful medieval empire, centered on the Khorezm region, was destroyed by the Mongol invasion in the early 13th century?","Імперія Великих Моголів","XIII asr boshida mo'g'ullar bosqini tomonidan yo'q qilingan, Xorazm mintaqasi markazida bo'lgan qudratli o'rta asr imperiyasi qaysi edi?","Хорезмшахська імперія","The Byzantine Empire","Usmonli imperiyasi","Хорезмшахская империя","Империя Великих Моголов","The Ottoman Empire","Vizantiya imperiyasi","Яка могутня середньовічна імперія з центром у Хорезмі була знищена монгольською навалою на початку XIII століття?","Imperium Mogołów","Imperium Chorezmszachów","025839ef87264f98844cf2cd","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Мухаммад Шейбані","Кто из монгольских завоевателей разрушил города Бухару и Самарканд в 1220 году?","Тимур","A","Genghis Khan","Który mongolski zdobywca zniszczył miasta Buchara i Samarkanda w 1220 roku?","Тимур","Xubilayxon","Мухаммад Шейбани","Chingizxon","Kublai Khan","Timur","Muhammad Szajbani","In 1220, which Mongol conqueror destroyed the cities of Bukhara and Samarkand?","Хубілай-хан","1220-yilda Buxoro va Samarqand shaharlarini vayron qilgan mo'g'ul istilochisi kim edi?","Чингісхан","Timur","Muhammad Shayboniy","Чингисхан","Хубилай-хан","Muhammad Shaybani","Temur","Хто з монгольських завойовників зруйнував міста Бухару та Самарканд у 1220 році?","Kubilaj-chan","Czyngis-chan","ede437f199c4469195dd3143","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Перського шаха","В битве при Анкаре в 1402 году Тимур (Амир Темур) разгромил какого могущественного правителя?","Візантійського імператора","A","Ottoman Sultan Bayezid I","W bitwie pod Ankarą w 1402 roku Timur (Amir Timur) pokonał którego potężnego władcę?","Византийского императора","Mamluk sultoni","Персидского шаха","Usmonli sultoni Boyazid I","Mamluk Sultan","Cesarza bizantyjskiego","Szacha perskiego","At the Battle of Ankara in 1402, Timur (Amir Temur) defeated which powerful ruler?","Мамлюцького султана","1402-yilda Anqara jangida Amir Temur qaysi qudratli hukmdorni mag'lub etgan?","Османського султана Баязида I","Byzantine Emperor","Fors shohi","Османского султана Баязида I","Мамлюкского султана","Persian Shah","Vizantiya imperatori","У битві при Анкарі в 1402 році Тимур (Амір Темур) розгромив якого могутнього правителя?","Sułtana mameluckiego","Sułtana osmańskiego Bajazyda I","b7b08404fa104f2da6937965","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
